iter	Passed	Remaining
220	2228	7853
221	2234	7830
222	2246	7828
223	2253	7806
224	2265	7804
225	2274	7789
226	2284	7778
227	2293	7765
228	2299	7742
229	2308	7729
230	2315	7706
231	2323	7691
232	2330	7670
233	2338	7655
234	2345	7636
235	2354	7621
236	2361	7602
237	2369	7587
238	2377	7569
239	2385	7553
240	2393	7538
241	2402	7524
242	2409	7507
243	2418	7493
244	2426	7478
245	2436	7466
246	2442	7446
247	2454	7442
248	2460	7422
249	2472	7416
250	2480	7400
251	2489	7390
252	2499	7378
253	2505	7359
254	2515	7347
255	2521	7328
256	2530	7314
257	2536	7295
258	2545	7281
259	2552	7264
260	2560	7250
261	2568	7233
262	2576	7219
263	2583	7203
264	2591	7187
265	2599	7173
266	2607	7158
267	2615	7143
268	2622	7126
269	2630	7111
270	2637	7095
271	2645	7081
272	2652	7063
273	2661	7051
274	2671	7043
275	2679	7028
276	2687	7015
277	2695	6999
278	2705	6990
279	2711	6973
280	2721	6964
281	2727	6945
282	2737	6935
283	2743	6917
284	2753	6907
285	2759	6888
286	2769	6879
287	2775	6861
288	2785	6853
289	2792	6836
290	2801	6825
291	2807	6807
292	2817	6799
293	2824	6781
294	2833	6771
295	2840	6754
296	2852	6751
297	2859	6735
298	2868	6725
299	2875	6709
300	2883	6696
301	2889	6679
302	2897	6665
303	2903	6647
304	2913	6639
305	2919	6622
306	2928	6610
307	2934	6593
308	2945	6586
309	2951	6569
310	2962	6562
311	2968	6545
312	2978	6537
313	2984	6521
314	2994	6512
315	3002	6498
316	3010	6485
317	3017	6470
318	3024	6456
319	3030	6440
320	3039	6429
321	3045	6412
322	3054	6402
323	3061	6386
324	3069	6374
325	3074	6357
326	3082	6344
327	3088	6328
328	3096	6314
329	3104	6302
330	3112	6290
331	3120	6279
332	3129	6268
333	3136	6253
334	3143	6240
335	3151	6227
336	3157	6212
337	3165	6199
338	3171	6184
339	3179	6172
340	3186	6157
341	3194	6146
342	3202	6133
343	3211	6124
344	3218	6110
345	3226	6099
346	3235	6089
347	3245	6080
348	3252	6066
349	3262	6059
350	3272	6050
351	3279	6037
352	3288	6027
353	3295	6013
354	3302	6001
355	3309	5987
356	3316	5974
357	3325	5963
358	3332	5949
359	3339	5936
360	3346	5922
361	3354	5911
362	3360	5896
363	3369	5886
364	3376	5873
365	3384	5862
366	3391	5848
367	3399	5837
368	3406	5824
369	3414	5813
370	3420	5799
371	3427	5786
372	3434	5773
373	3441	5759
374	3449	5748
375	3456	5736
376	3464	5724
377	3471	5712
378	3479	5701
379	3486	5688
380	3494	5677
381	3501	5664
382	3508	5652
383	3515	5639
384	3522	5626
385	3530	5615
386	3537	5602
387	3544	5591
388	3551	5578
389	3559	5567
390	3566	5555
391	3574	5543
392	3580	5530
393	3587	5517
394	3593	5504
395	3599	5490
396	3605	5477
397	3612	5464
398	3619	5451
399	3625	5438
400	3631	5425
401	3638	5412
402	3644	5399
403	3651	5387
404	3658	5374
405	3664	5360
406	3671	5349
407	3677	5336
408	3684	5324
409	3691	5311
410	3697	5298
411	3704	5286
412	3710	5273
413	3718	5262
414	3724	5250
415	3731	5238
416	3737	5225
417	3744	5213
418	3751	5202
419	3758	5189
420	3766	5179
421	3772	5166
422	3778	5154
423	3785	5142
424	3791	5130
425	3798	5118
426	3804	5105
427	3812	5095
428	3818	5082
429	3824	5070
430	3832	5058
431	3838	5046
432	3844	5034
433	3850	5021
434	3856	5008
435	3864	4999
436	3871	4987
437	3879	4977
438	3886	4966
439	3893	4955
440	3900	4943
441	3906	4931
442	3913	4920
443	3919	4907
444	3926	4896
445	3931	4883
446	3937	4871
447	3944	4860
448	3950	4848
449	3957	4837
450	3963	4825
451	3969	4812
452	3978	4803
453	3985	4793
454	3993	4783
455	3999	4771
456	4008	4762
457	4014	4751
458	4021	4739
459	4028	4728
460	4035	4718
461	4041	4706
462	4047	4694
463	4053	4682
464	4060	4671
465	4067	4661
466	4073	4649
467	4079	4637
468	4087	4627
469	4093	4616
470	4101	4606
471	4108	4595
472	4115	4585
473	4122	4574
474	4128	4563
475	4139	4556
476	4145	4544
477	4151	4534
478	4157	4522
479	4164	4511
480	4170	4499
481	4176	4488
482	4183	4477
483	4189	4466
484	4196	4455
485	4202	4444
486	4208	4433
487	4215	4422
488	4221	4411
489	4227	4400
490	4234	4389
491	4241	4379
492	4247	4368
493	4254	4357
494	4261	4347
495	4268	4337
496	4275	4327
497	4282	4316
498	4289	4306
499	4295	4295
500	4302	4285
501	4308	4274
502	4314	4263
503	4321	4252
504	4327	4242
505	4333	4230
506	4340	4220
507	4346	4209
508	4354	4200
509	4360	4189
510	4366	4178
511	4372	4168
512	4378	4156
513	4385	4146
514	4392	4136
515	4398	4125
516	4406	4117
517	4413	4106
518	4420	4096
519	4426	4086
520	4433	4076
521	4439	4065
522	4446	4054
523	4453	4045
524	4459	4035
525	4467	4026
526	4474	4015
527	4481	4006
528	4487	3995
529	4493	3984
530	4500	3975
531	4506	3964
532	4513	3954
533	4519	3943
534	4525	3933
535	4532	3923
536	4538	3912
537	4544	3902
538	4550	3891
539	4556	3881
540	4564	3872
541	4570	3862
542	4576	3851
543	4582	3841
544	4588	3830
545	4594	3820
546	4600	3809
547	4606	3799
548	4612	3789
549	4618	3778
550	4624	3768
551	4631	3758
552	4636	3748
553	4643	3738
554	4649	3727
555	4655	3717
556	4661	3707
557	4667	3697
558	4673	3687
559	4679	3676
560	4685	3666
561	4692	3656
562	4698	3646
563	4704	3636
564	4710	3626
565	4716	3616
566	4723	3607
567	4731	3598
568	4738	3589
569	4744	3578
570	4750	3569
571	4757	3559
572	4763	3550
573	4770	3540
574	4776	3530
575	4781	3519
576	4788	3510
577	4794	3500
578	4800	3490
579	4806	3480
580	4812	3470
581	4818	3460
582	4824	3450
583	4831	3441
584	4838	3432
585	4844	3422
586	4851	3413
587	4856	3403
588	4863	3393
589	4869	3383
590	4875	3374
591	4883	3365
592	4890	3356
593	4897	3347
594	4903	3337
595	4910	3328
596	4916	3319
597	4922	3309
598	4929	3299
599	4935	3290
600	4941	3280
601	4948	3271
602	4953	3261
603	4960	3252
604	4967	3243
605	4972	3233
606	4980	3224
607	4986	3214
608	4993	3206
609	4999	3196
610	5005	3186
611	5011	3177
612	5017	3167
613	5025	3159
614	5032	3150
615	5039	3141
616	5045	3131
617	5051	3122
618	5058	3113
619	5065	3104
620	5072	3095
621	5078	3086
622	5084	3076
623	5091	3067
624	5097	3058
625	5104	3049
626	5111	3040
627	5117	3031
628	5122	3021
629	5128	3012
630	5135	3003
631	5141	2993
632	5147	2984
633	5153	2974
634	5159	2965
635	5165	2956
636	5171	2947
637	5177	2937
638	5183	2928
639	5189	2919
640	5195	2910
641	5201	2900
642	5207	2891
643	5213	2882
644	5219	2872
645	5226	2863
646	5232	2854
647	5238	2845
648	5245	2836
649	5250	2827
650	5256	2817
651	5262	2808
652	5268	2799
653	5274	2790
654	5279	2781
655	5286	2772
656	5293	2763
657	5299	2754
658	5305	2745
659	5311	2736
660	5317	2726
661	5323	2718
662	5329	2709
663	5335	2700
664	5342	2691
665	5347	2681
666	5353	2672
667	5360	2664
668	5366	2655
669	5373	2646
670	5380	2637
671	5386	2629
672	5393	2620
673	5398	2611
674	5404	2602
675	5410	2593
676	5416	2584
677	5423	2575
678	5428	2566
679	5434	2557
680	5440	2548
681	5446	2539
682	5453	2531
683	5459	2522
684	5465	2513
685	5472	2504
686	5478	2495
687	5484	2487
688	5490	2478
689	5497	2469
690	5504	2461
691	5510	2452
692	5517	2444
693	5524	2435
694	5531	2427
695	5537	2418
696	5544	2410
697	5551	2401
698	5557	2393
699	5564	2384
700	5571	2376
701	5578	2367
702	5584	2359
703	5591	2350
704	5598	2342
705	5605	2334
706	5613	2326
707	5620	2317
708	5627	2309
709	5633	2301
710	5640	2292
711	5647	2284
712	5654	2276
713	5661	2267
714	5669	2259
715	5676	2251
716	5683	2243
717	5690	2235
718	5697	2226
719	5703	2218
720	5711	2209
721	5717	2201
722	5725	2193
723	5731	2185
724	5739	2177
725	5746	2168
726	5753	2160
727	5760	2152
728	5767	2144
729	5775	2136
730	5782	2127
731	5790	2119
732	5797	2111
733	5804	2103
734	5810	2095
735	5817	2086
736	5824	2078
737	5831	2070
738	5838	2062
739	5844	2053
740	5851	2045
741	5857	2036
742	5863	2028
743	5870	2020
744	5877	2011
745	5884	2003
746	5890	1995
747	5897	1986
748	5903	1978
749	5910	1970
750	5916	1961
751	5923	1953
752	5929	1945
753	5935	1936
754	5941	1928
755	5948	1919
756	5954	1911
757	5961	1903
758	5967	1894
759	5974	1886
760	5980	1878
761	5988	1870
762	5994	1862
763	6001	1853
764	6007	1845
765	6013	1837
766	6020	1828
767	6026	1820
768	6032	1812
769	6039	1803
770	6046	1795
771	6052	1787
772	6059	1779
773	6065	1771
774	6071	1762
775	6081	1755
776	6088	1747
777	6095	1739
778	6102	1731
779	6108	1722
780	6114	1714
781	6121	1706
782	6127	1698
783	6133	1689
784	6139	1681
785	6145	1673
786	6152	1665
787	6158	1656
788	6164	1648
789	6171	1640
790	6176	1632
791	6182	1623
792	6188	1615
793	6195	1607
794	6201	1599
795	6207	1590
796	6213	1582
797	6220	1574
798	6226	1566
799	6232	1558
800	6238	1549
801	6244	1541
802	6250	1533
803	6257	1525
804	6263	1517
805	6269	1509
806	6276	1500
807	6282	1492
808	6288	1484
809	6294	1476
810	6300	1468
811	6307	1460
812	6313	1452
813	6319	1443
814	6324	1435
815	6331	1427
816	6338	1419
817	6345	1411
818	6352	1403
819	6359	1396
820	6365	1387
821	6371	1379
822	6378	1371
823	6384	1363
824	6391	1355
825	6397	1347
826	6403	1339
827	6409	1331
828	6415	1323
829	6422	1315
830	6427	1307
831	6433	1299
832	6440	1291
833	6446	1283
834	6452	1275
835	6459	1267
836	6466	1259
837	6472	1251
838	6479	1243
839	6484	1235
840	6490	1227
841	6497	1219
842	6503	1211
843	6508	1203
844	6514	1195
845	6521	1187
846	6526	1179
847	6533	1171
848	6540	1163
849	6547	1155
850	6555	1147
851	6562	1139
852	6569	1132
853	6576	1124
854	6583	1116
855	6590	1108
856	6597	1100
857	6604	1092
858	6610	1085
859	6618	1077
860	6624	1069
861	6631	1061
862	6638	1053
863	6645	1046
864	6652	1038
865	6658	1030
866	6665	1022
867	6671	1014
868	6678	1006
869	6684	998
870	6690	990
871	6697	983
872	6702	975
873	6709	967
874	6716	959
875	6722	951
876	6729	943
877	6735	935
878	6742	928
879	6749	920
880	6755	912
881	6762	904
882	6768	896
883	6774	888
884	6780	881
885	6786	873
886	6792	865
887	6797	857
888	6804	849
889	6810	841
890	6816	833
891	6823	826
892	6829	818
893	6835	810
894	6841	802
895	6847	794
896	6853	786
897	6859	779
898	6897	774
899	6909	767
900	6916	759
901	6922	752
902	6928	744
903	6935	736
904	6940	728
905	6946	720
906	6953	712
907	6959	705
908	6965	697
909	6971	689
910	6977	681
911	6983	673
912	6989	666
913	6994	658
914	7001	650
915	7006	642
916	7013	634
917	7018	626
918	7027	619
919	7033	611
920	7039	603
921	7045	596
922	7051	588
923	7059	580
924	7067	573
925	7076	565
926	7084	557
927	7092	550
928	7100	542
929	7108	535
930	7114	527
931	7119	519
932	7125	511
933	7131	503
934	7137	496
935	7143	488
936	7149	480
937	7154	472
938	7161	465
939	7167	457
940	7174	449
941	7179	442
942	7185	434
943	7191	426
944	7197	418
945	7202	411
946	7208	403
947	7214	395
948	7220	388
949	7226	380
950	7232	372
951	7239	365
952	7245	357
953	7252	349
954	7259	342
955	7265	334
956	7272	326
957	7278	319
958	7284	311
959	7290	303
960	7298	296
961	7305	288
962	7311	280
963	7319	273
964	7325	265
965	7332	258
966	7338	250
967	7344	242
968	7350	235
969	7357	227
970	7363	219
971	7368	212
972	7374	204
973	7380	197
974	7386	189
975	7393	181
976	7400	174
977	7406	166
978	7413	159
979	7420	151
980	7427	143
981	7434	136
982	7441	128
983	7448	121
984	7454	113
985	7460	105
986	7466	98
987	7472	90
988	7478	83
989	7484	75
990	7490	68
991	7496	60
992	7502	52
993	7508	45
994	7513	37
995	7519	30
996	7525	22
997	7531	15
998	7536	7
999	7543	0
